词条	拼音	分类	释义	例句
结蛛	ciq55tsyu34	动物	蜘蛛	
蟢蛛	shi41tsyu34	动物		
蚂米	mo22mi44	动物	蚂蚁	
蝼蛄	leu22kou44	动物		
曲蟮	chioq55zoe52	动物	蚯蚓	
蜗牛	ou55gnieu21	动物		
百脚	paq55ciaq55	动物	蜈蚣	
壁虎子		动物	壁虎	
苍蝇	tshao55nyin21	动物		
蚊子	men22tsy44	动物		
白虱	paq23seq55	动物	虱子	
壁虱	piq55seq55	动物	臭虫	
跳虱	diau22seq44	动物	跳蚤	
才蝍	ze22tsiq44	动物	蟋蟀	
蟑螂	tsaon55laon21	动物		
叫哥哥		动物	蝈蝈	
各蜢	koq55man52	动物	蝗虫	
螳螂	daon22laon44	动物		
知了	tsyu55liau21	动物	蝉	
洋兹他		动物	一种较小的蝉	
蜜蜂	miq23fon31	动物		
胡蜂	ghou22fon44	动物	马蜂	
口	saq43	动物	（马蜂）蜇（人）	
胡蜂窠		动物	马蜂窝	
蜜糖	miq23daon31	动物	蜂蜜	
蝴蝶	ghou22diq44	动物		
蜻蜓	sin55din21	动物		
硬壳虫		动物	瓢虫	
麦蝴蝶		动物	飞蛾	
游火虫		动物	萤火虫	
拆屁虫		动物	臭大姐	
鲤鱼	li22ng44	动物	苏州人认为~要跳龙门，故不吃~	
回鱼	we22ng44	动物	草鱼	
青鱼	tsi55ng21	动物		
鲢鱼	lie22ng44	动物	包括鲢鱼和鳙鱼	
白鲢	baq23lie31	动物	鲢鱼	
花鲢	ho55lie21	动物	鳙鱼	
鲫鱼	tsiq55ng34	动物		
鳜鱼	ciu55ng21	动物		
鳊鱼	pie55ng21	动物		
鲇鱼	gnia22ng44	动物		
鲥鱼	zy22ng44	动物		
白鱼	baq23ng31	动物	太湖特产	
黑鱼	heq55ng34	动物		
穿鲦鱼		动物	白鲦鱼	
盎丝鱼		动物	一种鱼，不大，有须，鱼刺少	
塘鲤鱼		动物	一种鱼，与盎丝鱼类似	
银鱼	gni22ng44	动物	产于太湖的一种特别小的鱼	
鲞鱼	sian41ng34	动物	一种鱼，多腌了吃，也可吃新鲜的，不是鱼干	
咸鲞鱼		动物	腌了的鲞鱼	
黄鱼	waon22ng44	动物		
华鱼	gho22ng44	动物		
裙带鱼		动物	带鱼	
乌贼鱼		动物	墨鱼	
鳗鲡	moe22li44	动物	鳗鱼	
金鲫鱼		动物	金鱼	
鱼鳞爿		动物	鱼鳞	
鱼骨头		动物	鱼刺	
鱼泡泡		动物	鱼鳔	
鱼革鳃		动物	鱼鳃	
甩水		动物	做菜的鱼尾，最适合做~的是青鱼的尾巴	
鱼子	ng22tsy44	动物	鱼子儿	
虾	ho44	动物		
虾子	ho55tsy21	动物	虾的卵	
虾仁	ho55gnin21	动物	去头和壳的鲜虾	
虾米	ho55mi21	动物	干的虾仁	
开洋	khe55yan21	动物	较大的虾米	
虾皮	ho55bi21	动物	晒干的小虾，带头和壳	
黄鳝	waon22zoe44	动物	鳝鱼	
脚鱼	ciaq55ng34	动物	鳖	
蟹	ha51	动物	螃蟹	
大闸蟹		动物	产于苏州阳澄湖的螃蟹，是著名品牌	
梭子蟹		动物	海蟹	
蟹黄	ha41huaon34	动物		
九雌十雄		动物	农历九月时母螃蟹成熟，十月公螃蟹成熟，故有此说	
挨蜊	a55li21	动物	蚌	
螺蛳	lou22sy44	动物	多产于小河，苏州人爱吃	
田螺	die22lou44	动物	产于水天的较大螺蛳，可食	
田鸡	die22ci44	动物	青蛙	
蛤蟆	ghaon22mo44	动物	蝌蚪	
癞团	la22doe44	动物	癞蛤蟆	
泥鳅	gni22tsheu44	动物	以前苏州人认为~不可食	
蚂蟥	mo22waon44	动物		
乌龟	ou55ciu21	动物	苏州人认为~不可食	
树	zyu231	植物		
松树	son55zyu21	植物		
松果	son55kou21	植物	松球	
柏树	paq55zyu412	植物		
桑树	saon55zyu21	植物		
桑葚	saon55tsen21	植物		
杨柳树		植物	①柳树；	
杨柳树		植物	②也可指杨树，二者分不清	
梧桐树		植物		
梧桐	ngou22don44	植物		
树梗	zyu22kan44	植物	树干	
树梢	zyu22sau44	植物		
树叶子		植物	树叶	
树丫子		植物	树枝	
竹头	tsoq55deu34	植物	竹子	
笋	sen51	植物	竹笋	
冬笋	ton55sen21	植物		
春笋	tshen552se1n	植物		
笋壳	sen41khoq34	植物		
篾青	miq23tshin31	植物	青篾	
篾黄	miq23waon31	植物	黄篾	
桂花	kue55ho21	植物		
菊花	cioq55ho34	植物		
梅花	me22ho44	植物		
月季花		植物		
蔷薇花		植物		
凤仙花		植物		
荷花	ghou22ho44	植物		
荷叶	ghou22yiq44	植物		
白兰花		植物		
茉莉花		植物	多用于花茶的花	
玳玳花		植物	多用于花茶的花	
千年云		植物	万年青	
花瓣	ho55be21	植物		
花蕊头		植物	花蕾	
芦柴	lou22za44	植物	采摘下的芦苇	
茅柴	mau22za44	植物	茅草	
青粘苔		植物	青苔	
采	tshe51	植物	采摘	
摘	tiq43	植物		
服盆	voq23ben223	植物	花草移植后能适应新的环境，称为~	
稻	dau231	植物		
双季稻		植物	一年内种植、收割两次的水稻	
谷	koq43	植物	稻谷	
砻糠	lon22khaon44	植物	稻谷的外壳	
稻柴	dau22za44	植物	稻草	
稗草子		植物	稗子	
秕谷	pi41koq34	植物	空的或不饱满的稻谷	
米	mi231	植物	稻米	
糙米	tshau55mi21	植物	未舂碾过的米	
白米	baq23mi31	植物	经过舂碾的米	
粳米	kan55mi21	植物	黏性居中的稻米，苏州人当做主食	
大米	dou22mi44	植物		
籼米	sie55mi21	植物	黏性较小的稻米，南方人多用作主食，但苏州人不喜欢吃	
糯米	nou22mi44	植物	江米，黏性最大的稻米，不作主食，只做点心	
米粉	mi22fen44	植物	大米磨成的粉	
小麦	siau41maq34	植物		
大麦	da22maq44	植物		
元麦	gnioe22maq44	植物		
麦柴	maq23za31	植物	麦秸	
麸皮	fu55bi21	植物	麦麸	
面粉	mie22fen44	植物	小麦磨成的粉	
御麦	yu22maq44	植物	玉米	
菜子	tshe55tsy21	植物	油菜子（榨油用）	
棉花	mie22ho44	植物		
黄豆	waon22deu44	植物		
毛豆	mau22deu44	植物	鲜的黄豆，常见蔬菜	
绿豆	loq23deu31	植物		
赤豆	tshaq55deu412	植物	红小豆	
蚕豆	zoe22deu44	植物		
寒寒豆		植物	豌豆	
长豇豆		植物	豇豆	
扁豆	pie52deu21	植物		
菠菜	pu55tshe21	植物		
白菜		植物	大白菜	
青菜	tshin55tshe21	植物	白菜的统称	
大菜	dou22tshe44	植物	一种较大的白菜	
小青菜		植物	比“大菜”小的白菜	
鸡毛菜		植物	白菜秧，作菜吃	
卷心菜		植物	圆白菜（叶子卷成球状的）	
包菜	pau55tshe21	植物		
芹菜	jin22tshe44	植物	芹菜的统称	
药芹	yaq23jin31	植物	芹菜的一种，长在旱地里，即各地常见的芹菜	
水芹菜		植物	芹菜的一种，长在水田里，北方没有	
韭菜	cieu52tshe21	植物		
韭芽	cieu41nga34	植物		
韭黄	cieu41waon34	植物		
苋菜	shie52tshe21	植物	①苋菜的总称；	
苋菜	shie52tshe22	植物	②专指红苋菜	
红苋菜		植物	苋菜的一种，平时只说“苋菜”，为加以区别，才称“红苋菜”	
白苋菜		植物	苋菜的一种	
菜见	tshe55cie21	植物	油菜苔	
塌棵菜		植物	冬季蔬菜，株矮叶大，贴地生长	
蕹菜	on55tshe21	植物	空心菜	
荠菜	zia24tshe21	植物		
蓬蒿菜		植物	茼蒿菜	
香菜	shian55tshe21	植物		
番茄	fe55ga21	植物		
老卜	lau22boq44	植物	萝卜	
太湖老卜		植物	本地一种较好的萝卜	
老卜干		植物	萝卜干儿	
黄老卜		植物	胡萝卜	
辣火	laeq23hou31	植物	辣椒	
灯笼辣火		植物	柿子椒	
茄子	ga22tsy44	植物		
茭白	kau55baq21	植物		
莴苣笋		植物	莴苣	
山芋	se55yu21	植物	甘薯	
山薯	se55zyu21	植物		
洋山芋		植物	马铃薯	
洋芋艿<老>		植物		
芋艿	yu55na12	植物	芋头	
葱	tshon44	植物	小葱	
胡葱	ghou22tshon44	植物	大葱	
洋葱头		植物	洋葱	
大蒜	da22soe44	植物	青蒜，嫩的蒜梗和蒜叶	
大蒜头		植物	蒜头，蒜的鳞茎。苏州人一般不吃生的~	
蒜苗	soe55miau21	植物	蒜薹，蒜的花茎	
芥菜	kat55she21	植物		
慈菇	zy22kou44	植物	一种水田的植物，可做菜	
蕈	zin231	植物	野生蘑菇	
香蕈	shian55zin21	植物	香菇	
蘑菇	mo22kou44	植物	温室培养的蘑菇	
老姜	lau22cian44	植物	①姜的总称；	
老姜	lau22cian45	植物	②专指生姜	
嫩姜	nen22cian44	植物	子姜	
胡椒	ghou22tsiau44	植物		
马兰头		植物	一种常见野菜	
枸杞头		植物	枸杞的嫩叶，可食	
冬瓜	ton55ko21	植物		
南瓜	noe22ko44	植物		
黄瓜	waon22ko44	植物		
丝瓜	sy55ko21	植物		
西瓜	si55ko21	植物		
扁蒲	pie41bu34	植物	瓠子	
活芦	weq23lou31	植物	葫芦	
㼑	lie231	植物	瓜瓤◇《广韵》霰韵郎甸切“瓜~”	
桃子	dau22tsy44	植物		
杏子	ghan22ho44	植物		
杏仁	ghan22gnin44	植物		
梨	li223	植物		
苹果	bin22kou44	植物		
嘉庆子		植物	李子	
枣子	tsau41tsy34	植物	枣儿	
枇杷	biq23bo31	植物		
杨梅	yan22me44	植物		
柿子	zy22tsy44	植物		
柿饼	zy22pin44	植物		
石榴	zaq23leu31	植物		
橘子	cioq55tsy52	植物		
筋	cin44	植物	橘络（橘瓣儿上的丝儿）	
金橘	cin55cioq21	植物		
文旦	ven22te44	植物	柚子	
沙田柚		植物	一种较好的柚子	
桂圆	kue55yoe21	植物	龙眼	
橄榄	ke41le34	植物		
栗子	liq23tsy31	植物		
葡萄	beq23dau31	植物		
蒲桃	bu22dau44	植物	核桃	
沙胡桃		植物	一种小核桃	
香榧子		植物	榧子	
白果	baq23kou31	植物	银杏的果实	
西瓜子		植物	西瓜子儿	
荸荠	beq23zi31	植物		
甘蔗	koe55tsoe21	植物		
长生果		植物	花生（带壳的）	
果肉<老>	kou41gnioq34	植物		
花生米		植物		
长生果衣		植物	花生米外面的红皮	
向日葵		植物		
香瓜子		植物	葵花子儿	
藕	ngeu231	植物		
莲蓬	lie22bon44	植物		
莲心	lie22sin44	植物	莲子	
鸡头米		植物	芡实，苏州著名风味小吃	
菱	lin223	植物		
水红菱		植物	一种菱，红色，多生吃	
老乌菱		植物	一种菱，钝角，多煮熟了吃	
沙瓜菱		植物	一种菱，较小，尖角，煮熟了吃	
开火仓		饮食	开伙	我一干子弗~。（我一个人自己不开火。）
火仓铜钿		饮食	伙食钱	
点饥	tie52ci44	饮食	吃一点东西暂时减轻饥饿，不完全吃饱	
挦毛	zie223mau223	饮食	（为家畜、家禽）去毛	
牵磨	chie55mo21	饮食	用石磨磨东西	
过饭	kou52ve231	饮食	（用菜）下饭	
饭	ve231	饮食	①泛指饭食；	~匣吃弗饱。（饭也吃不饱。）
饭	ve231	饮食	②大米饭，跟其他主食相对；	苏州人只吃~，弗吃馒头。
饭	ve231		③指干的米饭，跟稀的粥相对	
吃饭	chiq43ve231	饮食	这里“饭”的含义同上条	
吃粥	chiq55tsoq55	饮食	①吃早饭；	
吃粥	chiq55tsoq55		②指吃稀的米粥	饭匣吃不起，只好~。
吃点心		饮食	吃早饭的客气说法：	[曾阿]~勒？（吃早饭了吗？常见的早晨的问候语。）
中饭	tson55ve21	饮食	午饭	
夜饭	ya22ve44	饮食	晚饭	
早饭	tsau52ve21	饮食	比正常时间吃得早的饭，比如上午十点吃午饭	
烧饭	sau44ve231	饮食	做饭	
饭烧好则		饮食	饭做好了	
济热	tsi55gniq21	饮食	饭菜凉后重新再加热	
开饭	khe44ve223	饮食	开饭	
盛饭	zen223ve231			
搛菜	cie44tshe523	饮食	夹菜	
烧	sau44	饮食	做（饭菜）	~饭|~小菜|~水
冷饭	lan24ve21	饮食	凉的米饭，多指吃剩的	
扒冷饭		饮食	吃冷饭，常指孩子在下午肚子饿时吃凉的剩饭	放学转来就~。
焦	tsiau44	饮食	糊	
淘米	dau22mi44	饮食		
夹生		饮食	（米饭）半生不熟	
菜饭	tshe55ve21	饮食	加蔬菜一起煮的米饭	
盖浇饭		饮食	把现成的菜肴放在米饭上一块出售，按现代标准，可以说是一种快餐。早年就有现在仍常见。“浇”见“浇头”条。	
米烧粥		饮食	用大米熬成的粥，为区别于饭泡粥而说	
饭泡粥		饮食	用米饭加水煮成，为区别于米烧粥而说	
泡粥	phau55tsoq21	饮食	用米饭加水煮成，为区别于米烧粥而说	
粥	tsoq43	饮食	统称，包括米烧粥和饭泡粥。苏州人后者吃得多，平时说~，多指后者。	
干粥烂饭		饮食	比稀粥水少，比米饭水多的主食	
饭米糁		饮食	米饭粒	
粥饮汤		饮食	熬粥时滗出来的米汤	
饭除	ve22zyu44	饮食	锅巴	
粽子	tson55tsy21	饮食		
团子	doe22tsy44	饮食	一种糯米面食品，圆形，有馅儿，蒸熟	
汤团	thaon55doe21	饮食	一种糯米面食品，圆形，有馅儿，比团子小，在开水里煮熟	
圆子	yoe22tsy44	饮食	一种糯米面食品，圆形，比汤团小，没有馅儿，在开水里煮熟。苏州习俗，年初一早晨吃~	
青团子		饮食	用绿色植物叶子（如南瓜叶）煮烂后和在糯米粉中做成的团子	
糍毛团		饮食	表面粘米饭粒儿的团子	
糍饭团		饮食	糯米饭团，用手捏成，中间多夹油条	
糍饭	tsy55ve21	饮食		
糕	kau44	饮食	一种糯米面食品，方形，蒸熟	
定榫糕		饮食	一种糕，外形像榫头，两头大中间小	
黄松糕		饮食	一种糕，加红糖水发酵蒸制而成	
方糕	faon55kau21	饮食	一种糕，搀面粉发酵蒸制而成	
年糕	gnie22kau44	饮食	一种糕，主要在过年时食用	
糖年糕		饮食	加红糖制成的年糕，不发酵	
猪油年糕		饮食	一种年糕，加未熬炼的成块儿的猪板油	
宁波年糕		饮食	粳米蒸熟后用木锤舂打成的条形年糕，可做成炒年糕、汤年糕。前面各种年糕多是甜的，~是淡的。	
糖粥	daon22tsoq44	饮食	加白糖的粥，一种小吃，旧时沿街叫卖	
面	mie231	饮食	面条	
酵粉	kau55fen21	饮食	发酵用的面团	
老酵	lau22kau44	饮食		
发酵粉		饮食		
肉面	gnioq23mie231	饮食	和面，多用来做包子	
守粉	seu51fen51	饮食	和米面，多用来做汤团、圆子	
小粉	siau41fen34	饮食	淀粉，和面时防止面团沾手用	
馒头	moe22deu44	饮食	有馅儿没馅儿都叫~	肉~（肉包子）
油煠桧		饮食	油条	
油条	yeu22diau44	饮食		
阔面		饮食	较宽的面条	
索面		饮食	挂面（直条的干面条）	
阳春面		饮食	没有菜肴的汤面条	
光面	kuaon55mie21	饮食	没有菜肴的汤面条	
宽汤	khuoe55thaon21	饮食	汤面条的汤较多	
紧汤	cin41thaon34	饮食	汤面条的汤较少	
生煎馒头		饮食	加油、水煎成的肉包子，较小	
让	gnian231	饮食	馅儿	
馄饨	wen22den44	饮食		
烧卖	sau55ma21	饮食		
大饼	da22pin44	饮食	烧饼	
羌饼	chian55pin21	饮食	旧时常见的一种大饼，较大，多为外地人做、售、吃	
老虎脚爪		饮食	一种烤的面食，状如老虎爪子	
绞捩棒		饮食	麻花	
梅花糕		饮食	用面粉做的小吃，梅花柱形，用有模子的铁板烘烤	
海棠糕		饮食	用面粉做的小吃，扁圆形，用有模子的铁板烘烤	
面衣	mie22i44	饮食	用面粉加水调成面糊，用少量油煎成的薄饼，是家常吃的便易食品。	
面疙瘩		饮食	用面粉加水调成面糊，再用筷子随意加成块儿放入沸水中煮成，是家常吃的便易食品	
月饼	ngeq23pin31	饮食		
肉月饼		饮食	肉馅月饼，现烤现卖，宜吃热的	
酒酿饼		饮食	类似月饼，不同处是面中掺江米酒	
鸡蛋糕		饮食	如月饼大小的小蛋糕	
荤小菜		饮食	荤菜	
冷气肉		饮食	冷藏的肉	
热气肉		饮食	新鲜的，没有冷藏过的肉	
斩肉<老>	tse55gnioq21	饮食	肉末	
蹄髈	di22phaon44	饮食	肘子（猪腿靠近身体的部位）	
脚爪	ciaq55tsau52	饮食	猪蹄	
脊里肉		饮食	里脊	
坐臀	zou22den44	饮食	猪后腿肉	
夹心	kaeq55sin34	饮食	猪前腿肉	
肠	zan223	饮食	当食物的猪肠子	
肋条	leq23diau31	饮食	带勒骨的肉	
排骨	ba22kueq44	饮食	带骨头的肉	
大排	dou22ba44	饮食	带脊椎骨的肉	
小排	siau41ba34	饮食	带其他部位骨头的肉	
肚子	dou22tsy44	饮食	猪肚	
门枪	men22tshian44	饮食	当食物的猪舌头	
猪肝	tsyu55koe21	饮食		
腰子	iau55tsy21	饮食		
咸肉	ghe22gnioq44	饮食	腌制的肉	
风肉	fon55gnioq21	饮食	一种较好的咸肉	
熟肉	zoq23gnioq55	饮食	卤肉	
酱肉	tsian55gnioq21	饮食	卤肉	
拆烧	tshaq55sau34	饮食	一种卤制的肉，都是瘦肉	
枵肉	shiau55gnioq21	饮食	一种肉食，加一种中药，使肉呈粉红色	
鸭肫肝		饮食		
血	shiuq43	饮食	猪血	
爆鱼	bau22ng44	饮食	把鲜鱼用酱油和其他作料浸泡后油炸而成	
熏鱼	shiun55ng21	饮食	把鲜鱼用酱油和其他作料浸泡后油炸而成	
薰胴	shiun55don21	饮食	苏州特产，用特殊方法卤制的食品，主要原料是猪内脏	
面拖虾		饮食	将蟹切成两半，加面粉和水烧煮而成，多用较小的蟹做成	
羊汤	yan22thaon44	饮食	羊肉汤，做法有苏州特色，冬天出售，是著名的时令食品	
肉圆	gnioq23yoe31	饮食	肉丸子	
卤	lou231	饮食	鱼肉菜肴里的汤汁	
冻水	ton55syu21	饮食	冬天菜肴（荤菜）汤汁结成的胶状物	
黄	huaon44	饮食	蛋黄	
白	baq23	饮食	蛋清	
溏黄	daon22huaon44	饮食	煎鸡蛋时没有凝结的蛋黄	
茶叶蛋		饮食	加茶叶、酱油、茴香等煮成的鸡蛋	
